Well_ID,Well_Name,lat_dec,long_dec,GSE,AquiferID,Aquifer_Name
411455112131501, (B- 6- 3)19aab- 1,41.248554600000006,-112.2216078,4219.0,3,East Shore Area
411456112043401, (B- 6- 2)21bab- 3,41.24883328,-112.07688600000002,4236.0,3,East Shore Area
411457112093500, (B- 6- 3)23bbb- 1,41.24911056,-112.1604969,4220.0,3,East Shore Area
411458112035101, (B- 6- 2)16ddd- 2,41.2493889,-112.0649416,4230.0,3,East Shore Area
411459112042801, (B- 6- 2)16cdd- 4,41.249666600000005,-112.07521940000001,4235.0,3,East Shore Area
411459112043001, (B- 6- 2)16ccd- 3,41.249666600000005,-112.07577490000001,4234.0,3,East Shore Area
411459112073701, (B- 6- 3)24aab- 2,41.249666299999994,-112.1277192,4221.0,3,East Shore Area
411459112090701, (B- 6- 3)23baa- 3,41.24966616,-112.15271909999998,4220.0,3,East Shore Area
411459112102901, (B- 6- 3)22bab- 1,41.249666,-112.17549679999999,4216.0,3,East Shore Area
411459112123101, (B- 6- 3)20baa- 1,41.2496658,-112.20938559999999,4215.0,3,East Shore Area
411500112073501, (B- 6- 3)24aab- 1,41.2499441,-112.12716359999999,4221.0,3,East Shore Area
411500112093801, (B- 6- 3)22aaa- 1,41.24994389,-112.16133020000001,4220.0,3,East Shore Area
411501112092001, (B- 6- 3)14cdc- 3,41.25022169,-112.15633020000001,4220.0,3,East Shore Area
411502112101101, (B- 6- 3)15ddc- 1,41.25049937,-112.17049679999998,4218.0,3,East Shore Area
411502112101301, (B- 6- 3)15cdd- 1,41.25049937,-112.1710524,4217.0,3,East Shore Area
411507112024001, (B- 6- 2)14ccc- 1,41.25188896,-112.0452195,4235.0,3,East Shore Area
411509112043901, (B- 6- 2)16cca- 1,41.2524443,-112.078275,4234.0,3,East Shore Area
411510111570301, (B- 6- 1)16dac- 1,41.252721799999996,-111.95160770000001,4445.0,3,East Shore Area
411510112125601, (B- 6- 3)17cca- 1,41.2527212,-112.21633,4216.0,3,East Shore Area
411511112053901, (B- 6- 2)17cad- 3,41.252999700000004,-112.0949416,4234.0,3,East Shore Area
411513112053701, (B- 6- 2)17cad- 4,41.25355527,-112.09438600000001,4234.0,3,East Shore Area
411517112040101, (B- 6- 2)16dab- 3,41.2546665,-112.06771950000001,4233.0,3,East Shore Area
411521112083000, (B- 6- 3)14daa- 1,41.2557771,-112.1424415,4220.0,3,East Shore Area
411523112051900, (B- 6- 2)17acd- 1,41.25633297,-112.0893861,4232.0,3,East Shore Area
411523112082101, (B- 6- 3)15cbc- 1,41.25633265,-112.1399416,4220.0,3,East Shore Area
411524112083001, (B- 6- 3)14daa- 2,41.2566104,-112.1424416,4224.0,3,East Shore Area
411525112045701, (B- 6- 2)17add- 2,41.2568885,-112.083275,4230.0,3,East Shore Area
411525112110001, (B- 6- 3)16dab- 1,41.256887899999995,-112.1841081,4215.0,3,East Shore Area
411525112121501, (B- 6- 3)17dba- 1,41.25688779,-112.20494140000001,4215.0,3,East Shore Area
411526112082801, (B- 6- 3)14add- 3,41.25716594,-112.14188600000001,4225.0,3,East Shore Area
411533112052001, (B- 6- 2)17aca- 4,41.2591106,-112.08966399999998,4237.0,3,East Shore Area
411533112082001, (B- 6- 3)13bcc- 2,41.259110299999996,-112.1396639,4222.0,3,East Shore Area
411534112040200, (A- 6- 2)16aad- 1,41.2593885,-112.06799740000001,4230.0,3,East Shore Area
411536112052801, (B- 6- 2)17abc- 3,41.2599439,-112.09188619999999,4238.0,3,East Shore Area
411536112055001, (B- 6- 2)20bbd- 4,41.25994388,-112.0979973,4235.0,3,East Shore Area
411538112035701, (B- 6- 2)16aac- 2,41.2604996,-112.0666085,4232.0,3,East Shore Area
411539112040001, (B- 6- 2)16aac- 1,41.26077737,-112.06744180000001,4232.0,3,East Shore Area
411545112133001, (B- 6- 3)18abc- 1,41.26244298,-112.2257749,4218.0,3,East Shore Area
411553112115601, (B- 6- 3)17aaa- 1,41.26466528,-112.19966389999999,4215.0,3,East Shore Area
411555112031601, (B- 6- 2)10cda- 1,41.2652217,-112.0552197,4225.0,3,East Shore Area
411601112005801, (B- 6- 2)12bad- 1,41.26688857,-112.0168865,4240.0,3,East Shore Area
411601112011201, (B- 6- 2)12bac- 1,41.26688855,-112.02077539999999,4241.0,3,East Shore Area
411602111591101, (B- 6- 1) 7dad- 1,41.26716625,-111.98716399999999,4262.0,3,East Shore Area
411605112025601, (B- 6- 2)10dbd- 1,41.2679994,-112.0496642,4230.0,3,East Shore Area
411606112013901, (B- 6- 2)11dad- 1,41.2682773,-112.0282754,4241.62,3,East Shore Area
411606112135800, (B- 6- 3) 7cbd- 1,41.268276,-112.2335528,4220.0,3,East Shore Area
411608112012401, (B- 6- 2)12bbb- 1,41.2688329,-112.0241087,4238.0,3,East Shore Area
